,0,1,2,3,4,5,6,7,8,9,10,11
C major,2,-1,1,-1,1,1,-1,1,-1,1,-1,1
a minor,1,-1,1,-1,1,1,-1,-1,2,2,-1,1
G major,1,-1,1,-1,1,-1,2,2,-1,1,-1,1
e minor,1,-1,-1,2,2,-1,2,1,-1,1,-1,1
D major,-1,2,2,-1,1,-1,2,1,-1,1,-1,1
b minor,-1,2,1,-1,1,-1,2,1,-1,-1,2,2
A major,-1,2,1,-1,1,-1,2,-1,2,2,-1,1
f# minor,-1,2,1,-1,-1,2,2,-1,2,1,-1,1
E major,-1,2,-1,2,2,-1,2,-1,2,1,-1,1
c# minor,2,2,-1,2,1,-1,2,-1,2,1,-1,-1
B major,-1,2,-1,2,1,-1,2,-1,2,-1,2,2
g# minor,-1,2,-1,2,1,-1,-1,2,2,-1,2,1
F major,1,-1,1,-1,1,2,-1,1,-1,1,2,-1
d minor,-1,2,2,-1,1,1,-1,1,-1,1,2,-1
B- major,1,-1,1,2,-1,1,-1,1,-1,1,2,-1
g minor,1,-1,1,2,-1,-1,2,2,-1,1,2,-1
E- major,1,-1,1,2,-1,1,-1,1,2,-1,2,-1
c minor,1,-1,1,2,-1,1,-1,1,2,-1,-1,2
A- major,1,2,-1,2,-1,1,-1,1,2,-1,2,-1
f minor,1,2,-1,-1,2,1,-1,1,2,-1,2,-1
D- major,1,2,-1,2,-1,1,2,-1,2,-1,2,-1
b- minor,1,2,-1,2,-1,1,2,-1,-1,2,2,-1
