neuronname,neuronnum,synmapsenum,area
nb1,1.5,8890,cortex
p2/3,26,7106,cortex
b2/3,3.1,3854,cortex
ss4(L4),9.2,5792,cortex
ss4(L2/3),9.2,4989,cortex
p4,9.2,6703,cortex
b4,5.4,3230,cortex
nb4,1.5,3688,cortex
p5(L2/3),4.8,5196,cortex
p5(L5/6),1.3,13075,cortex
b5,0.6,2981,cortex
nb5,0.8,2981,cortex
p6(L4),13.6,6363,cortex
p6(L5/6),4.5,6421,cortex
b6,2,3220,cortex
nb6,2,3220,cortex
nb2/3,4.2,3307,cortex
TCs,0.5,4000,thalamus
TCn,0.5,4000,thalamus
TIs,0.1,3000,thalamus
TIn,0.1,3000,thalamus
TRN,0.5,4000,thalamus
